point,pipeline,unit,quantity,program_value,truth_value,delta,delta_m_equiv,tolerance,status,truth_source
C1,geodetic->SPC 2112,usft,combined_factor,1.00015861,1.0001586091316426,8.68357386e-10,,2e-08,PASS,llh_C1_2112.json k * derived EF
C2,geodetic->SPC 2112,usft,northing,942039.807,942039.807,0,0,0.006561666666666667,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,usft,easting,19595036.33,19595036.33,0,0,0.006561666666666667,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,usft,grid_scale_factor,1.00005242,1.00005242,0,,2e-08,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,usft,convergence_arcsec,-898.55,-898.55,0,,0.02,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,usft,geoid_height_m,-35.396,-35.396,0,,0.002,PASS,geoid_C2.json
C2,geodetic->SPC 2112,usft,elevation_factor,0.99997574,0.9999757375629424,2.437057556e-09,,2e-08,PASS,geoid_C2.json + derivation R/(R+H+N)
C2,geodetic->SPC 2112,usft,combined_factor,1.00002816,1.0000281562911055,3.708894525e-09,,2e-08,PASS,llh_C2_2112.json k * derived EF
C3,geodetic->SPC 2112,usft,northing,529837.732,529837.732,0,0,0.006561666666666667,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,usft,easting,19359334.281,19359334.281,0,0,0.006561666666666667,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,usft,grid_scale_factor,0.99991763,0.99991763,0,,2e-08,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,usft,convergence_arcsec,-3188.84,-3188.84,0,,0.02,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,usft,geoid_height_m,-34.67,-34.67,0,,0.002,PASS,geoid_C3.json
C3,geodetic->SPC 2112,usft,elevation_factor,0.99997609,0.9999760944195758,-4.419575816e-09,,2e-08,PASS,geoid_C3.json + derivation R/(R+H+N)
C3,geodetic->SPC 2112,usft,combined_factor,0.99989373,0.9998937263886785,3.611321575e-09,,2e-08,PASS,llh_C3_2112.json k * derived EF
C4,geodetic->SPC 2112,usft,northing,359707.881,359707.881,0,0,0.006561666666666667,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,usft,easting,19911895.208,19911895.208,0,0,0.006561666666666667,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,usft,grid_scale_factor,0.9999753,0.9999753,0,,2e-08,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,usft,convergence_arcsec,2203.99,2203.99,0,,0.02,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,usft,geoid_height_m,-35.254,-35.254,0,,0.002,PASS,geoid_C4.json
C4,geodetic->SPC 2112,usft,elevation_factor,0.99997713,0.9999771276418008,2.358199191e-09,,2e-08,PASS,geoid_C4.json + derivation R/(R+H+N)
C4,geodetic->SPC 2112,usft,combined_factor,0.99995243,0.999952428206748,1.793251991e-09,,2e-08,PASS,llh_C4_2112.json k * derived EF
S1,geodetic->SPC 2113,m,northing,46781.4811,46781.481,9.999999747e-05,9.999999747e-05,0.002,PASS,llh_S1_2113.json
S1,geodetic->SPC 2113,m,easting,3818836.8741,3818836.874,0.0001000002958,0.0001000002958,0.002,PASS,llh_S1_2113.json
S1,geodetic->SPC 2113,m,grid_scale_factor,1.00005334,1.00005334,0,,2e-08,PASS,llh_S1_2113.json
S1,geodetic->SPC 2113,m,convergence_arcsec,-5348.96,-5348.96,0,,0.02,PASS,llh_S1_2113.json
S1,geodetic->SPC 2113,m,geoid_height_m,-33.937,-33.937,0,,0.002,PASS,geoid_S1.json
S1,geodetic->SPC 2113,m,elevation_factor,0.9999708,0.9999708007584587,-7.584586292e-10,,2e-08,PASS,geoid_S1.json + derivation R/(R+H+N)
S1,geodetic->SPC 2113,m,combined_factor,1.00002414,1.0000241392009712,7.990288431e-10,,2e-08,PASS,llh_S1_2113.json k * derived EF
S2,geodetic->SPC 2113,m,northing,306229.1454,306229.145,0.0003999999608,0.0003999999608,0.002,PASS,llh_S2_2113.json
S2,geodetic->SPC 2113,m,easting,3917362.1877,3917362.188,-0.000299999956,-0.000299999956,0.002,PASS,llh_S2_2113.json
S2,geodetic->SPC 2113,m,grid_scale_factor,1.00019267,1.00019267,0,,2e-08,PASS,llh_S2_2113.json
S2,geodetic->SPC 2113,m,convergence_arcsec,-2534.51,-2534.51,0,,0.02,PASS,llh_S2_2113.json
S2,geodetic->SPC 2113,m,geoid_height_m,-33.279,-33.28,0.001,,0.002,PASS,geoid_S2.json
S2,geodetic->SPC 2113,m,elevation_factor,0.99994292,0.9999429222787679,-2.278767952e-09,,2e-08,PASS,geoid_S2.json + derivation R/(R+H+N)
S2,geodetic->SPC 2113,m,combined_factor,1.00013558,1.0001355812816033,-1.281603268e-09,,2e-08,PASS,llh_S2_2113.json k * derived EF
S3,geodetic->SPC 2113,m,northing,93204.1747,93204.175,-0.0002999999997,-0.0002999999997,0.002,PASS,llh_S3_2113.json
S3,geodetic->SPC 2113,m,easting,4108855.5987,4108855.599,-0.000299999956,-0.000299999956,0.002,PASS,llh_S3_2113.json
S3,geodetic->SPC 2113,m,grid_scale_factor,0.99995325,0.99995325,0,,2e-08,PASS,llh_S3_2113.json
S3,geodetic->SPC 2113,m,convergence_arcsec,3236.0,3236.0,0,,0.02,PASS,llh_S3_2113.json
S3,geodetic->SPC 2113,m,geoid_height_m,-34.547,-34.547,0,,0.002,PASS,geoid_S3.json
S3,geodetic->SPC 2113,m,elevation_factor,0.9999767,0.9999767028340449,-2.834044888e-09,,2e-08,PASS,geoid_S3.json + derivation R/(R+H+N)
S3,geodetic->SPC 2113,m,combined_factor,0.99992995,0.9999299539231875,-3.923187553e-09,,2e-08,PASS,llh_S3_2113.json k * derived EF
S4,geodetic->SPC 2113,m,northing,143555.7796,143555.78,-0.0003999999899,-0.0003999999899,0.002,PASS,llh_S4_2113.json
S4,geodetic->SPC 2113,m,easting,3862272.4531,3862272.453,9.999983013e-05,9.999983013e-05,0.002,PASS,llh_S4_2113.json
S4,geodetic->SPC 2113,m,grid_scale_factor,0.99990855,0.99990855,0,,2e-08,PASS,llh_S4_2113.json
S4,geodetic->SPC 2113,m,convergence_arcsec,-4124.01,-4124.01,0,,0.02,PASS,llh_S4_2113.json
S4,geodetic->SPC 2113,m,geoid_height_m,-33.399,-33.399,0,,0.002,PASS,geoid_S4.json
S4,geodetic->SPC 2113,m,elevation_factor,0.99997542,0.9999754241758629,-4.175862989e-09,,2e-08,PASS,geoid_S4.json + derivation R/(R+H+N)
S4,geodetic->SPC 2113,m,combined_factor,0.99988398,0.999883976423322,3.576677954e-09,,2e-08,PASS,llh_S4_2113.json k * derived EF
S1,geodetic->SPC 2113,ift,northing,153482.55,153482.55,0,0,0.006561679790026247,PASS,llh_S1_2113.json
S1,geodetic->SPC 2113,ift,easting,12528992.369,12528992.369,0,0,0.006561679790026247,PASS,llh_S1_2113.json
S1,geodetic->SPC 2113,ift,grid_scale_factor,1.00005334,1.00005334,0,,2e-08,PASS,llh_S1_2113.json
S1,geodetic->SPC 2113,ift,convergence_arcsec,-5348.96,-5348.96,0,,0.02,PASS,llh_S1_2113.json
S1,geodetic->SPC 2113,ift,geoid_height_m,-33.937,-33.937,0,,0.002,PASS,geoid_S1.json
S1,geodetic->SPC 2113,ift,elevation_factor,0.9999708,0.9999708007584587,-7.584586292e-10,,2e-08,PASS,geoid_S1.json + derivation R/(R+H+N)
S1,geodetic->SPC 2113,ift,combined_factor,1.00002414,1.0000241392009712,7.990288431e-10,,2e-08,PASS,llh_S1_2113.json k * derived EF
S2,geodetic->SPC 2113,ift,northing,1004688.797,1004688.797,0,0,0.006561679790026247,PASS,llh_S2_2113.json
S2,geodetic->SPC 2113,ift,easting,12852238.149,12852238.149,0,0,0.006561679790026247,PASS,llh_S2_2113.json
S2,geodetic->SPC 2113,ift,grid_scale_factor,1.00019267,1.00019267,0,,2e-08,PASS,llh_S2_2113.json
S2,geodetic->SPC 2113,ift,convergence_arcsec,-2534.51,-2534.51,0,,0.02,PASS,llh_S2_2113.json
S2,geodetic->SPC 2113,ift,geoid_height_m,-33.279,-33.28,0.001,,0.002,PASS,geoid_S2.json
S2,geodetic->SPC 2113,ift,elevation_factor,0.99994292,0.9999429222787679,-2.278767952e-09,,2e-08,PASS,geoid_S2.json + derivation R/(R+H+N)
S2,geodetic->SPC 2113,ift,combined_factor,1.00013558,1.0001355812816033,-1.281603268e-09,,2e-08,PASS,llh_S2_2113.json k * derived EF
